iter,id,x,y,h,w,cam_x,cam_y,cam_z,rxy,rxz
74,1,107,153,1,1,1.7147906079063474234,3.0742232681614269415,0.29634572283840944382,1.0530855743651948,0.019083609174729933
74,2,104,153,1,2,1.7147906079063474234,3.0742232681614269415,0.29634572283840944382,1.0596580808271854,0.01811063883715455
74,3,104,150,2,3,1.7147906079063474234,3.0742232681614269415,0.29634572283840944382,1.0593333742810767,0.00478619521436971
75,1,106,156,4,4,1.7147906079063474234,3.0742232681614269415,0.29634572283840944382,1.0506209035547187,0.052163165347017856
76,1,110,165,1,1,1.7147906079063474234,3.0742232681614269415,0.29634572283840944382,1.045233049457433,0.09757262356204247
76,2,107,161,3,5,1.7147906079063474234,3.0742232681614269415,0.29634572283840944382,1.0480029123602141,0.0782843423083424
76,3,113,160,1,1,1.7147906079063474234,3.0742232681614269415,0.29634572283840944382,1.034764841413373,0.06581954510330859
77,1,109,163,4,5,1.7147906079063474234,3.0742232681614269415,0.29634572283840944382,1.0419945297799742,0.09745611981865894
77,2,113,162,1,1,1.7147906079063474234,3.0742232681614269415,0.29634572283840944382,1.0350804636848896,0.07838855699413375
78,1,110,165,3,1,1.7147906079063474234,3.0742232681614269415,0.29634572283840944382,1.0453927968476178,0.10398720121834215
78,2,112,164,4,4,1.7147906079063474234,3.0742232681614269415,0.29634572283840944382,1.0325095659751227,0.10334552330475891
79,1,110,164,4,6,1.7147906079063474234,3.0742232681614269415,0.29634572283840944382,1.0357120631744199,0.1035024303502245
79,2,111,162,1,1,1.7147906079063474234,3.0742232681614269415,0.29634572283840944382,1.0415172686004166,0.078337222369877
80,1,110,161,3,5,1.7147906079063474234,3.0742232681614269415,0.29634572283840944382,1.0382927623043008,0.07836307859621296
81,1,108,156,4,5,1.7147906079063474234,3.0742232681614269415,0.29634572283840944382,1.0441156463931998,0.05260672741088255
82,1,111,151,1,1,1.7147906079063474234,3.0742232681614269415,0.29634572283840944382,1.0397695894837884,0.008207947028350097
82,2,109,148,1,1,1.7147906079063474234,3.0742232681614269415,0.29634572283840944382,1.0457623830377187,-0.012254490653238411
83,1,110,148,1,1,1.7147906079063474234,3.0742232681614269415,0.29634572283840944382,1.0425218718424452,-0.011554048946528773
83,2,107,146,2,2,1.7147906079063474234,3.0742232681614269415,0.29634572283840944382,1.0488546886507688,-0.0194548219971803
84,1,107,146,2,5,1.7147906079063474234,3.0742232681614269415,0.29634572283840944382,1.0456025671973042,-0.018695682457945596
85,1,108,147,5,4,1.7147906079063474234,3.0742232681614269415,0.29634572283840944382,1.0426811161250387,-0.005154675057793873
86,1,110,157,1,2,1.7147906079063474234,3.0742232681614269415,0.29634572283840944382,1.0407224251394738,0.04644473153691352
86,2,108,157,1,1,1.7147906079063474234,3.0742232681614269415,0.29634572283840944382,1.0504601905887334,0.0456392881520332
86,3,108,154,1,1,1.7147906079063474234,3.0742232681614269415,0.29634572283840944382,1.0499782292589552,0.02607571363226975
86,4,110,153,2,2,1.7147906079063474234,3.0742232681614269415,0.29634572283840944382,1.0402458741558709,0.027315460466300668
86,5,109,152,1,1,1.7147906079063474234,3.0742232681614269415,0.29634572283840944382,1.0464019423562039,0.013562645409923071
87,1,110,159,1,2,1.7147906079063474234,3.0742232681614269415,0.29634572283840944382,1.0410402737494264,0.059202766642224264
87,2,108,159,1,1,1.7147906079063474234,3.0742232681614269415,0.29634572283840944382,1.0507816461151929,0.05868746054011051
87,3,108,156,2,4,1.7147906079063474234,3.0742232681614269415,0.29634572283840944382,1.0439561357638898,0.046180259680096064
88,1,108,157,1,4,1.7147906079063474234,3.0742232681614269415,0.29634572283840944382,1.0439561357638898,0.046180259680096064
89,1,109,152,3,3,1.7147906079063474234,3.0742232681614269415,0.29634572283840944382,1.043318389191728,0.020488684126720558
90,1,110,147,1,2,1.7147906079063474234,3.0742232681614269415,0.29634572283840944382,1.0391349575040827,-0.017210921434085872
90,2,110,145,1,1,1.7147906079063474234,3.0742232681614269415,0.29634572283840944382,1.042044316553713,-0.03071636707509556
90,3,108,144,1,1,1.7147906079063474234,3.0742232681614269415,0.29634572283840944382,1.0483736151790184,-0.038881988631587115
91,1,110,143,1,2,1.7147906079063474234,3.0742232681614269415,0.29634572283840944382,1.0385007989355726,-0.04253400281142853
91,2,106,142,1,1,1.7147906079063474234,3.0742232681614269415,0.29634572283840944382,1.0545879123695159,-0.05383400108184996
91,3,108,141,1,1,1.7147906079063474234,3.0742232681614269415,0.29634572283840944382,1.047892808068661,-0.05823678186318323
92,1,108,140,2,3,1.7147906079063474234,3.0742232681614269415,0.29634572283840944382,1.0446442936595135,-0.057192502898798514
92,2,110,139,1,1,1.7147906079063474234,3.0742232681614269415,0.29634572283840944382,1.0410900049746759,-0.06883423780744996
92,3,108,136,2,2,1.7147906079063474234,3.0742232681614269415,0.29634572283840944382,1.0440060365374784,-0.08267643234837473
93,1,110,141,1,1,1.7147906079063474234,3.0742232681614269415,0.29634572283840944382,1.0414079904661206,-0.05616357963530342
94,1,112,149,1,2,1.7147906079063474234,3.0742232681614269415,0.29634572283840944382,1.0330310336210728,-0.0032530397222612956
94,2,111,147,1,1,1.7147906079063474234,3.0742232681614269415,0.29634572283840944382,1.0391349575040827,-0.017210921434085872
94,3,110,145,1,1,1.7147906079063474234,3.0742232681614269415,0.29634572283840944382,1.042044316553713,-0.03071636707509556
95,1,110,148,3,3,1.7147906079063474234,3.0742232681614269415,0.29634572283840944382,1.0394522143163425,-0.0045114470487104584
96,1,112,154,2,3,1.7147906079063474234,3.0742232681614269415,0.29634572283840944382,1.0339763033355855,0.034393613780147485
96,2,112,151,1,1,1.7147906079063474234,3.0742232681614269415,0.29634572283840944382,1.036551694345374,0.00874896620661463
97,1,114,154,1,1,1.7147906079063474234,3.0742232681614269415,0.29634572283840944382,1.0306233956872508,0.028501343104631215
98,1,112,151,3,5,1.7147906079063474234,3.0742232681614269415,0.29634572283840944382,1.0303094478903017,0.01603578295794966
99,1,116,149,1,2,1.7147906079063474234,3.0742232681614269415,0.29634572283840944382,1.0203350481212772,-0.0008428860085751849
99,2,113,148,2,1,1.7147906079063474234,3.0742232681614269415,0.29634572283840944382,1.0330310336210728,-0.0032530397222612956
100,1,117,141,3,1,1.7147906079063474234,3.0742232681614269415,0.29634572283840944382,1.0192503813923997,-0.04332175449589037
100,2,114,141,3,2,1.7147906079063474234,3.0742232681614269415,0.29634572283840944382,1.0255655956317595,-0.04511084504952008
101,1,115,139,3,5,1.7147906079063474234,3.0742232681614269415,0.29634572283840944382,1.0189407421680015,-0.05539880531157514
102,1,116,143,1,1,1.7147906079063474234,3.0742232681614269415,0.29634572283840944382,1.0225573610028542,-0.038117986483976754
102,2,119,140,1,1,1.7147906079063474234,3.0742232681614269415,0.29634572283840944382,1.012676617773588,-0.05349473001380253
102,3,116,139,3,2,1.7147906079063474234,3.0742232681614269415,0.29634572283840944382,1.0189407421680015,-0.05539880531157514
102,4,114,139,2,2,1.7147906079063474234,3.0742232681614269415,0.29634572283840944382,1.0252535576570976,-0.057356867935913255
103,1,117,140,5,3,1.7147906079063474234,3.0742232681614269415,0.29634572283840944382,1.0161110390132742,-0.04244588854370385
104,1,118,150,2,2,1.7147906079063474234,3.0742232681614269415,0.29634572283840944382,1.0143679171132156,0.012324748292315668
105,1,123,150,1,1,1.7147906079063474234,3.0742232681614269415,0.29634572283840944382,1.0018076300884875,0.008369746303041771
105,2,118,150,4,6,1.7147906079063474234,3.0742232681614269415,0.29634572283840944382,1.0082919883866233,0.019212123221712875
106,1,120,142,2,4,1.7147906079063474234,3.0742232681614269415,0.29634572283840944382,1.0038270903394162,-0.03321400354429842
107,1,120,135,3,1,1.7147906079063474234,3.0742232681614269415,0.29634572283840944382,1.0089510497780156,-0.07613089595040247
107,2,118,134,4,1,1.7147906079063474234,3.0742232681614269415,0.29634572283840944382,1.0151860696019885,-0.07832902657275317
108,1,116,125,3,2,1.7147906079063474234,3.0742232681614269415,0.29634572283840944382,1.01677657140847,-0.13883542761423256
108,2,118,124,1,1,1.7147906079063474234,3.0742232681614269415,0.29634572283840944382,1.0133393139552607,-0.14897020447326803
108,3,116,123,1,1,1.7147906079063474234,3.0742232681614269415,0.29634572283840944382,1.0194537015050742,-0.15804929962862957
109,1,114,121,1,1,1.7147906079063474234,3.0742232681614269415,0.29634572283840944382,1.0254583748913988,-0.17327757590485923
