iter,time,fps,numOfBall
149,1.858117408999533,80970.5650222102,1
150,1.869328709999536,89195.71421726453,2
151,1.8818281580006442,80003.53294892191,2
152,1.893108227999619,88651.93213259194,2
153,1.9068713449996721,72657.9596755689,2
154,1.9202432230013073,74783.81121019156,2
155,1.931972811000378,85254.48635358988,2
156,1.9444437399997696,80186.48811558337,2
157,1.9562639579999086,84600.80854585263,1
158,1.9690549330007343,78180.12308955696,2
159,1.9823885740006517,74998.26941539782,2
160,1.9942471570011548,84327.1072064489,2
161,2.0060430129997258,84775.53474043355,2
162,2.0168197650000366,92792.33668652293,1
163,2.028641589000472,84589.31548661005,2
164,2.0408397360006347,81979.66461517873,2
165,2.054671932999554,72295.0952822703,5
166,2.066420017001292,85120.26300221136,1
167,2.07904091599994,79233.65840318668,3
168,2.091694312000982,79030.16707274884,2
169,2.1040719150005316,80791.08693633004,2
170,2.1164191349998873,80989.89084605113,3
171,2.127398863000053,91076.93742366855,1
172,2.1396826780000993,81407.93393552753,3
173,2.1534854330002418,72449.30450404112,2
174,2.1658302640007605,81005.56418779473,1
175,2.177011780000612,89433.31119083404,2
176,2.1904598729997815,74359.98546870165,1
177,2.202416008,83639.06897853808,1
178,2.213305721001234,91829.78466803525,5
179,2.224693477000983,87813.6131492487,3
180,2.239677216999553,66739.01176177914,3
181,2.2512248490002094,86597.84100698333,2
182,2.2645401600002515,75101.51283712682,0
183,2.275777562001167,88988.5402265151,0
184,2.291541218999555,63437.05652199028,2
185,2.3028142980001576,88706.90961595727,1
186,2.314399131000755,86319.75963299861,4
187,2.3258175330011,87577.92902805409,1
188,2.3382849200006603,80209.26919452005,1
189,2.349118004000047,92309.8168588555,5
190,2.3608199099999183,85456.16415061071,4
191,2.3763251830005174,64494.18852292123,1
192,2.3932282280002255,59160.938163346946,1
193,2.4045018150009128,88702.91238618536,1
194,2.4166266009997344,82475.68246542155,0
195,2.427665084000182,90592.15835721613,2
196,2.440024187000745,80912.02087679553,2
197,2.451013044999854,91001.26692701403,2
